class,seed,pretrain_seed,method,auroc,auprc
class_SSRI,51,2,finlayson_structure,0.44666666666666666,0.023860911270983214
class_SSRI,51,2,finlayson_expression,0.43,0.016750305167503053
class_SSRI,51,2,finlayson_concat,0.43666666666666665,0.020920920920920922
class_NSAID,42,0,finlayson_structure,0.6444444444444445,0.1038203446698185
class_NSAID,42,0,finlayson_expression,0.4955555555555555,0.027933071438964063
class_NSAID,42,0,finlayson_concat,0.6066666666666667,0.06054943613952268
class_NSAID,42,1,finlayson_structure,0.5644444444444444,0.03687600644122383
class_NSAID,42,1,finlayson_expression,0.5933333333333334,0.03150668775668776
class_NSAID,42,1,finlayson_concat,0.5822222222222222,0.033412698412698415
class_NSAID,42,2,finlayson_structure,0.7377777777777778,0.11456908344733242
class_NSAID,42,2,finlayson_expression,0.6222222222222222,0.04417989417989418
class_NSAID,42,2,finlayson_concat,0.7266666666666667,0.08427041499330655
class_NSAID,43,0,finlayson_structure,0.74,0.22543859649122808
class_NSAID,43,0,finlayson_expression,0.6466666666666666,0.14
class_NSAID,43,0,finlayson_concat,0.7,0.1578125
class_NSAID,43,1,finlayson_structure,0.6755555555555556,0.13529657477025897
class_NSAID,43,1,finlayson_expression,0.7111111111111111,0.16996927803379414
class_NSAID,43,1,finlayson_concat,0.6933333333333332,0.13508522727272726
class_NSAID,43,2,finlayson_structure,0.7644444444444445,0.18767876787678767
class_NSAID,43,2,finlayson_expression,0.7111111111111111,0.18577777777777776
class_NSAID,43,2,finlayson_concat,0.7333333333333334,0.1864734299516908
class_NSAID,44,0,finlayson_structure,0.7155555555555556,0.04625150825938858
class_NSAID,44,0,finlayson_expression,0.5466666666666666,0.03128671416072991
class_NSAID,44,0,finlayson_concat,0.6577777777777778,0.038309990662931837
class_NSAID,44,1,finlayson_structure,0.8022222222222222,0.06540681540681541
class_NSAID,44,1,finlayson_expression,0.7177777777777778,0.04797121007647323
class_NSAID,44,1,finlayson_concat,0.7866666666666666,0.061400923469888985
class_NSAID,44,2,finlayson_structure,0.88,0.1875
class_NSAID,44,2,finlayson_expression,0.7888888888888889,0.09781397939292676
class_NSAID,44,2,finlayson_concat,0.8555555555555556,0.18361581920903952
class_NSAID,45,0,finlayson_structure,0.7133333333333334,0.059730848861283645
class_NSAID,45,0,finlayson_expression,0.571111111111111,0.04494777851458886
class_NSAID,45,0,finlayson_concat,0.6688888888888889,0.060368341561281305
class_NSAID,45,1,finlayson_structure,0.6777777777777777,0.10697594501718213
class_NSAID,45,1,finlayson_expression,0.6111111111111112,0.04544494720965309
class_NSAID,45,1,finlayson_concat,0.64,0.07603212010124814
class_NSAID,45,2,finlayson_structure,0.7799999999999999,0.10314327485380116
class_NSAID,45,2,finlayson_expression,0.6711111111111111,0.05730496453900709
class_NSAID,45,2,finlayson_concat,0.7577777777777778,0.08633390705679862
class_NSAID,46,0,finlayson_structure,0.6799999999999999,0.04368471035137702
class_NSAID,46,0,finlayson_expression,0.6155555555555555,0.04856459330143541
class_NSAID,46,0,finlayson_concat,0.66,0.040981432360742705
class_NSAID,46,1,finlayson_structure,0.7,0.06214063714063714
class_NSAID,46,1,finlayson_expression,0.7355555555555555,0.05655620532813515
class_NSAID,46,1,finlayson_concat,0.7133333333333334,0.05728205506754262
class_NSAID,46,2,finlayson_structure,0.9111111111111112,0.1287037037037037
class_NSAID,46,2,finlayson_expression,0.7844444444444444,0.11507936507936507
class_NSAID,46,2,finlayson_concat,0.9,0.11798941798941799
class_NSAID,47,0,finlayson_structure,0.8111111111111111,0.23110661268556004
class_NSAID,47,0,finlayson_expression,0.62,0.0504040404040404
class_NSAID,47,0,finlayson_concat,0.7777777777777778,0.1537598204264871
class_NSAID,47,1,finlayson_structure,0.7177777777777777,0.13084291187739464
class_NSAID,47,1,finlayson_expression,0.7311111111111112,0.05198879551820729
class_NSAID,47,1,finlayson_concat,0.731111111111111,0.12045690550363447
class_NSAID,47,2,finlayson_structure,0.9466666666666667,0.2846153846153846
class_NSAID,47,2,finlayson_expression,0.8355555555555555,0.10219994430520746
class_NSAID,47,2,finlayson_concat,0.9333333333333333,0.19155844155844157
class_NSAID,48,0,finlayson_structure,0.6533333333333333,0.08388765705838876
class_NSAID,48,0,finlayson_expression,0.6266666666666666,0.09027777777777778
class_NSAID,48,0,finlayson_concat,0.6355555555555555,0.08524046434494195
class_NSAID,48,1,finlayson_structure,0.6711111111111111,0.06752372206917662
class_NSAID,48,1,finlayson_expression,0.7444444444444445,0.23156801661474558
class_NSAID,48,1,finlayson_concat,0.7022222222222222,0.0932030932030932
class_NSAID,48,2,finlayson_structure,0.7422222222222222,0.14832285115303984
class_NSAID,48,2,finlayson_expression,0.6977777777777777,0.1302222222222222
class_NSAID,48,2,finlayson_concat,0.731111111111111,0.1661793372319688
class_NSAID,49,0,finlayson_structure,0.6977777777777777,0.045991561181434604
class_NSAID,49,0,finlayson_expression,0.6133333333333333,0.052241805813234385
class_NSAID,49,0,finlayson_concat,0.6799999999999999,0.04416278432447246
class_NSAID,49,1,finlayson_structure,0.6733333333333333,0.05859077040427155
class_NSAID,49,1,finlayson_expression,0.7244444444444444,0.056072351421188625
class_NSAID,49,1,finlayson_concat,0.6933333333333334,0.056333288464127065
class_NSAID,49,2,finlayson_structure,0.9266666666666667,0.14715608465608465
class_NSAID,49,2,finlayson_expression,0.7644444444444445,0.08941633079564114
class_NSAID,49,2,finlayson_concat,0.9022222222222221,0.11905982905982906
class_NSAID,50,0,finlayson_structure,0.8711111111111112,0.2238095238095238
class_NSAID,50,0,finlayson_expression,0.6822222222222223,0.06600559369438087
class_NSAID,50,0,finlayson_concat,0.8088888888888888,0.13000473821369343
class_NSAID,50,1,finlayson_structure,0.8288888888888888,0.11296296296296296
class_NSAID,50,1,finlayson_expression,0.7555555555555555,0.07701865657802011
class_NSAID,50,1,finlayson_concat,0.8133333333333334,0.1272401433691756
class_NSAID,50,2,finlayson_structure,0.8777777777777778,0.26331236897274635
class_NSAID,50,2,finlayson_expression,0.7444444444444445,0.08819444444444445
class_NSAID,50,2,finlayson_concat,0.8422222222222223,0.2589371980676328
class_NSAID,51,0,finlayson_structure,0.86,0.08580368906455862
class_NSAID,51,0,finlayson_expression,0.6377777777777778,0.034151034151034154
class_NSAID,51,0,finlayson_concat,0.8333333333333334,0.07178797904604356
class_NSAID,51,1,finlayson_structure,0.8644444444444445,0.08679045092838197
class_NSAID,51,1,finlayson_expression,0.7622222222222222,0.05136287163936933
class_NSAID,51,1,finlayson_concat,0.8622222222222222,0.08432539682539683
class_NSAID,51,2,finlayson_structure,0.9555555555555555,0.22222222222222224
class_NSAID,51,2,finlayson_expression,0.86,0.08346579398472806
class_NSAID,51,2,finlayson_concat,0.9422222222222222,0.18977591036414565
class_BetaBlocker,42,0,finlayson_structure,0.9166666666666667,0.537037037037037
class_BetaBlocker,42,0,finlayson_expression,0.6833333333333333,0.5103092783505154
class_BetaBlocker,42,0,finlayson_concat,0.87,0.524390243902439
class_BetaBlocker,42,1,finlayson_structure,0.8366666666666667,0.5196078431372549
class_BetaBlocker,42,1,finlayson_expression,0.6133333333333333,0.25854700854700857
class_BetaBlocker,42,1,finlayson_concat,0.7866666666666666,0.5151515151515151
class_BetaBlocker,42,2,finlayson_structure,0.77,0.5140845070422535
class_BetaBlocker,42,2,finlayson_expression,0.6499999999999999,0.25943396226415094
class_BetaBlocker,42,2,finlayson_concat,0.7333333333333334,0.5121951219512195
class_BetaBlocker,43,0,finlayson_structure,0.9833333333333333,0.3666666666666667
class_BetaBlocker,43,0,finlayson_expression,0.9066666666666666,0.09401709401709402
class_BetaBlocker,43,0,finlayson_concat,0.9766666666666667,0.29166666666666663
