class,mode,pretrain_seed,view,auroc,auprc
class_SSRI,exclude,2,structure,0.8866666666666667,0.10526315789473684
class_SSRI,exclude,2,expression,0.73,0.03489702517162471
class_SSRI,exclude,2,concat,0.8433333333333333,0.05929487179487179
class_NSAID,positive,0,structure,0.6044444444444445,0.03876389265383573
class_NSAID,positive,0,expression,0.5133333333333333,0.032119514472455646
class_NSAID,positive,0,concat,0.5599999999999999,0.032004029682048254
class_NSAID,positive,1,structure,0.611111111111111,0.047418630751964085
class_NSAID,positive,1,expression,0.5288888888888889,0.03013945119208277
class_NSAID,positive,1,concat,0.5688888888888889,0.03538726561982376
class_NSAID,positive,2,structure,0.5066666666666667,0.0269526567340775
class_NSAID,positive,2,expression,0.45999999999999996,0.02774671722040143
class_NSAID,positive,2,concat,0.4755555555555555,0.0249120670995671
class_NSAID,exclude,0,structure,0.6511111111111111,0.039363525091799266
class_NSAID,exclude,0,expression,0.5422222222222222,0.033893664091683894
class_NSAID,exclude,0,concat,0.6,0.0346415770609319
class_NSAID,exclude,1,structure,0.5955555555555555,0.08478439088375143
class_NSAID,exclude,1,expression,0.5444444444444445,0.0390994188676619
class_NSAID,exclude,1,concat,0.6,0.07397107897664071
class_NSAID,exclude,2,structure,0.49111111111111105,0.027724705548460335
class_NSAID,exclude,2,expression,0.4533333333333333,0.030158007782400985
class_NSAID,exclude,2,concat,0.48,0.02876047797396112
class_BetaBlocker,positive,0,structure,0.8733333333333333,0.27564102564102566
class_BetaBlocker,positive,0,expression,0.67,0.17676767676767677
class_BetaBlocker,positive,0,concat,0.8266666666666668,0.1858974358974359
class_BetaBlocker,positive,1,structure,0.79,0.5153846153846153
class_BetaBlocker,positive,1,expression,0.5966666666666667,0.2581967213114754
class_BetaBlocker,positive,1,concat,0.7166666666666667,0.5114942528735632
class_BetaBlocker,positive,2,structure,0.8733333333333333,0.525
class_BetaBlocker,positive,2,expression,0.63,0.25892857142857145
class_BetaBlocker,positive,2,concat,0.7766666666666666,0.5144927536231884
class_BetaBlocker,exclude,0,structure,0.8733333333333333,0.27564102564102566
class_BetaBlocker,exclude,0,expression,0.6833333333333333,0.17719298245614035
class_BetaBlocker,exclude,0,concat,0.8033333333333332,0.26666666666666666
class_BetaBlocker,exclude,1,structure,0.7866666666666666,0.5151515151515151
class_BetaBlocker,exclude,1,expression,0.5900000000000001,0.508
class_BetaBlocker,exclude,1,concat,0.7366666666666667,0.5123456790123457
class_BetaBlocker,exclude,2,structure,0.8366666666666667,0.5196078431372549
class_BetaBlocker,exclude,2,expression,0.6366666666666667,0.2590909090909091
class_BetaBlocker,exclude,2,concat,0.7733333333333333,0.5142857142857142
class_Antipsychotic,positive,0,structure,0.45999999999999996,0.017773253993109927
class_Antipsychotic,positive,0,expression,0.42333333333333334,0.016983081492961384
class_Antipsychotic,positive,0,concat,0.45666666666666667,0.017645245800585605
class_Antipsychotic,positive,1,structure,0.5700000000000001,0.02286386203292396
class_Antipsychotic,positive,1,expression,0.37666666666666665,0.015429338103756709
class_Antipsychotic,positive,1,concat,0.4933333333333333,0.01881720430107527
class_Antipsychotic,positive,2,structure,0.4033333333333333,0.016530054644808743
class_Antipsychotic,positive,2,expression,0.42,0.01670843776106934
