se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain,family
Blood potassium decreased,27,0.0505617977528089,0.6934034626342318,0.5587698151800716,0.7023157279567536,-0.1346336474541601,0.0089122653225217,other
Blood pressure increased,72,0.1348314606741573,0.6266534391534393,0.5528799903799904,0.6072029822029822,-0.0737734487734489,-0.0194504569504571,other
Blood triglycerides increased,58,0.1086142322097378,0.5257896261953058,0.5985221674876847,0.5923645320197044,0.0727325412923789,0.0665749058243986,other
Blood urea increased,83,0.1554307116104868,0.6518312718724121,0.5251516041995031,0.578420110597601,-0.1266796676729089,-0.073411161274811,other
Blood uric acid increased,78,0.146067415730337,0.6020017993702204,0.4786043634727845,0.5082658569500675,-0.1233974358974357,-0.0937359424201528,other
Body temperature decreased,27,0.0505617977528089,0.7098400175323253,0.4163927240850317,0.6506684198991891,-0.2934472934472936,-0.0591715976331361,other
Body temperature increased,321,0.601123595505618,0.6594854694104397,0.5479502142658652,0.5819402395682506,-0.1115352551445745,-0.0775452298421891,other
Bone disorder,65,0.1217228464419475,0.5755617516811546,0.5119567000164015,0.555683122847302,-0.0636050516647531,-0.0198786288338526,other
Bone pain,69,0.1292134831460674,0.563378525790868,0.5258532024310426,0.5315256350319464,-0.0375253233598253,-0.0318528907589216,other
Bradycardia,163,0.3052434456928839,0.6185405056802209,0.5646982951069072,0.5762737089279513,-0.0538422105733137,-0.0422667967522696,other
Breast disorder,150,0.2808988764044944,0.5828993055555556,0.5318229166666667,0.5569965277777778,-0.0510763888888888,-0.0259027777777778,other
Breast enlargement,52,0.097378277153558,0.6964171720395788,0.5617219917012448,0.6444302585381424,-0.1346951803383339,-0.0519869135014363,other
Breast feeding,25,0.046816479400749,0.5038113948919449,0.4803143418467583,0.4686836935166995,-0.0234970530451865,-0.0351277013752454,other
Breast pain,69,0.1292134831460674,0.6022128720585944,0.5258843696431355,0.5522829982858033,-0.0763285024154589,-0.0499298737727911,other
Breath odour,26,0.048689138576779,0.4875832828588733,0.4903089036947304,0.4682768019382192,0.002725620835857,-0.0193064809206541,other
Bronchitis,149,0.2790262172284644,0.5289113570992765,0.4838141724047765,0.4934367645777042,-0.0450971846945,-0.0354745925215723,other
Bronchospasm,114,0.2134831460674157,0.5093567251461989,0.5623224728487886,0.5766081871345029,0.0529657477025896,0.067251461988304,other
Bundle branch block,36,0.0674157303370786,0.6770414993306559,0.5276104417670683,0.6384426595269969,-0.1494310575635876,-0.038598839803659,other
Burning sensation,40,0.0749063670411985,0.5961538461538461,0.3517206477732794,0.4859817813765182,-0.2444331983805667,-0.1101720647773279,other
Bursitis,41,0.0767790262172284,0.529955968930886,0.4912679958442587,0.4504526789689803,-0.0386879730866273,-0.0795032899619057,other
Candida infection,71,0.1329588014981273,0.6703677790283821,0.5133392145529766,0.6030176740790314,-0.1570285644754054,-0.0673501049493506,other
