se,struct_s1,expr_s1,struct_s2,expr_s2
Blindness,0.6002693516321426,0.3874815622394664,0.5905855191432052,0.41993202077855446
Blister,0.4508857325247367,0.5387807213533355,0.3777529524417491,0.5079396744334503
Blood alkaline phosphatase increased,0.6518502663622526,0.5028300989345511,0.6429556697108068,0.45141267123287676
Blood bilirubin increased,0.7439271255060728,0.6424032838506524,0.7216599190283401,0.6235098965362124
Blood cholesterol increased,0.5429359327903547,0.5084332713397037,0.5434489835182453,0.4789328544859873
Blood creatine phosphokinase increased,0.612286293827876,0.530099971022892,0.5716096783541003,0.5427050130396986
Blood creatinine increased,0.6714965727341964,0.55504569687738,0.6627760853008378,0.5717250571210968
Blood disorder,0.5645442520442521,0.45634920634920634,0.544131794131794,0.4549963924963925
Blood glucose increased,0.5386178861788617,0.5969802555168409,0.5333430120015487,0.6226287262872628
Blood lactate dehydrogenase increased,0.7324915110356537,0.5446201188455009,0.6621392190152802,0.5715725806451613
Blood potassium decreased,0.758784425451092,0.6366425597194828,0.71246986631602,0.6422675140623859
Blood pressure increased,0.6142075517075517,0.5603956228956228,0.6675384800384799,0.5382395382395382
Blood triglycerides increased,0.5344103158504782,0.5762460156476384,0.5027528252680382,0.5496957403651115
Blood urea increased,0.6376726417866587,0.5970400448801859,0.615686693559159,0.5807175486869874
Blood uric acid increased,0.6011864597390912,0.4884727845254161,0.6306230319388214,0.5112460638776428
Body temperature decreased,0.7053838848710643,0.322521732778143,0.6989553656220322,0.4285192490320695
Body temperature increased,0.6316528454214383,0.5458148684422214,0.6231845904084945,0.5422900852675764
Bone disorder,0.5482696408069543,0.49158602591438416,0.5847793997047729,0.496309660488765
Bone pain,0.6207261960417642,0.48726819386005915,0.6006545114539504,0.5964157706093189
Bradycardia,0.611479503249384,0.5606965091859176,0.6279992724025598,0.5507581896052783
Breast disorder,0.590625,0.5246180555555555,0.5580208333333334,0.5145833333333334
Breast enlargement,0.6641796999680817,0.6001835301627833,0.689036067666773,0.5847829556335781
Breast feeding,0.43732809430255404,0.5157563850687623,0.4779567779960708,0.5565422396856582
Breast pain,0.5985039738195419,0.5900264921302789,0.5913978494623655,0.5942340657628176
Breath odour,0.4460932768019382,0.5173379769836463,0.49295881284070264,0.5314960629921259
Bronchitis,0.5393009674888869,0.5033905691623813,0.5172491937592609,0.48247189052558187
Bronchospasm,0.5295112781954887,0.5599624060150377,0.5030910609857978,0.527046783625731
Bundle branch block,0.6816711289602856,0.499553770638108,0.6340361445783133,0.4918005354752342
Burning sensation,0.6291497975708503,0.3771255060728745,0.6083502024291498,0.38557692307692304
Bursitis,0.5143719388512343,0.5223865828921981,0.5550883095037847,0.5404442685400485
Candida infection,0.6683904724241778,0.45335077419158576,0.6586256198095702,0.5511209807440758
Cardiac arrest,0.5843045843045844,0.5188811188811189,0.55007215007215,0.5502941502941503
Cardiac disorder,0.6291664838459626,0.5543855030494493,0.6261535986427392,0.5487107483948341
Cardiac failure,0.5511258690463837,0.4959634741102003,0.553076683615233,0.4685067967209713
Cardiac failure congestive,0.597329247936341,0.563533258637642,0.627695333043697,0.5817346168797017
