se,struct,expr,set
Flushing,0.603947224265569,0.5405443475811121,all
Foetor hepaticus,0.46351214574898786,0.3649797570850203,all
Folliculitis,0.7741202102969734,0.6225548240420594,all
Fracture,0.7109780834116658,0.6138128926928215,all
Fungal infection,0.6379321808510638,0.6095079787234042,all
Gait disturbance,0.6276839209030831,0.4873614646815295,all
Galactorrhoea,0.8187114197530864,0.7857638888888889,all
Gamma-glutamyltransferase increased,0.4981804318441756,0.5248674314629328,all
Gastric ulcer,0.4730263157894737,0.4043522267206478,all
Gastritis,0.5785544871205575,0.49605618783209837,all
Gastroenteritis,0.6043173232595791,0.5536751214247166,all
Gastrointestinal disorder,0.6075893334147421,0.5596751789721124,all
Gastrointestinal haemorrhage,0.5851371874050825,0.49824845600890966,all
Gastrointestinal pain,0.6268192844147968,0.5114463311097636,all
Gastrooesophageal reflux disease,0.5972191629955947,0.5450440528634362,all
Generalised oedema,0.4758517228029423,0.5846399535423925,all
Gingival bleeding,0.525974025974026,0.4157235621521336,all
Gingivitis,0.5250060652271862,0.47568710359408034,all
Glaucoma,0.635011954572624,0.5293260609683204,all
Glossitis,0.5044677544677545,0.49349261849261855,all
Glycosuria,0.630989380989381,0.5415695415695415,all
Gout,0.631205470006895,0.42108136060675705,all
Gynaecomastia,0.6432576943140323,0.6302382194400975,all
Haematemesis,0.6168607511891094,0.4013777267508611,all
Haematoma,0.561915598872013,0.45312422698263494,all
Haematuria,0.6247515808491417,0.5146423585447975,all
Haemoglobin,0.6192753057507155,0.5828129065833983,all
Haemoglobin decreased,0.5620041753653444,0.4343139115581704,all
Haemolytic anaemia,0.6513132008656305,0.5093694668502853,all
Haemoptysis,0.6151477832512315,0.4825412923790206,all
Haemorrhage,0.6081705438923564,0.5884250628191618,all
Haemorrhoids,0.3878691930935536,0.5109088210557562,all
Hallucination,0.6668595902303507,0.6317364774362113,all
Headache,0.6213914154473276,0.5361847108569343,all
Hearing impaired,0.6465924426450742,0.5679262258209627,all
Hepatic enzyme increased,0.53727016965529,0.6148796498905909,all
Hepatic failure,0.5820652694037707,0.5373145755574696,all
Hepatic function abnormal,0.49299233497879097,0.5052216406618212,all
Hepatic necrosis,0.4725417439703154,0.5780612244897959,all
Hepatitis,0.6152109328579917,0.544949494949495,all
Hepatobiliary disease,0.6012793824928206,0.5565009952441007,all
Hepatocellular injury,0.5250504418994572,0.5060672369206287,all
Hepatomegaly,0.5636370890520268,0.495531439514842,all
Hepatotoxicity,0.6811428401628383,0.5300864707455502,all
Herpes simplex,0.5563936207612901,0.4232158266483429,all
Herpes zoster,0.6195811170212766,0.4884308510638298,all
Hiccups,0.6330060776063581,0.4777310269596385,all
Hirsutism,0.7043771043771043,0.5970991970991971,all
Hostility,0.65794779286927,0.4620118845500849,all
Hot flush,0.6005912015301687,0.48111198052512605,all
Hyperaesthesia,0.47264416315049224,0.5732419127988748,all
Hyperbilirubinaemia,0.673221745431811,0.5007530762454175,all
Hypercalcaemia,0.6697295505139014,0.5737223511580543,all
Hypercholesterolaemia,0.6248650982085042,0.4966814159292035,all
Hyperglycaemia,0.6450436849543878,0.46998265450340493,all
Hyperhidrosis,0.6165974638087757,0.5598557962069352,all
Hyperkalaemia,0.5650867717089072,0.4668413819553197,all
Hyperkinesia,0.6574153864440019,0.5555225388524054,all
Hyperlipidaemia,0.5933785745106499,0.5081787157258856,all
Hypersensitivity,0.5695929131516754,0.480459518257086,all
Hypertension,0.5666872751798561,0.5540551933453237,all
Hypertonia,0.5503174603174604,0.4102380952380952,all
Hypertriglyceridaemia,0.5292935471187034,0.525012014504784,all
Hyperuricaemia,0.6148931744569578,0.47918461949900454,all
Hyperventilation,0.5947739150193138,0.5471483753692343,all
Hypoaesthesia,0.591673951048951,0.4914616633366633,all
Hypocalcaemia,0.5743268291038992,0.5547467394601152,all
Hypoglycaemia,0.581219806763285,0.5215378421900162,all
Hypokalaemia,0.5876474227963925,0.5130032062700391,all
Hypokinesia,0.5649537184806894,0.5153606766677306,all
Hypomagnesaemia,0.7702245188880968,0.6375178189593728,all
Hyponatraemia,0.6617341440886699,0.5429879926108374,all
Hypophosphataemia,0.6503575995831953,0.615071283095723,all
Hypotension,0.6272718341683859,0.5769020251778872,all
Hypothyroidism,0.5685123966942148,0.5005371900826446,all
Ileus,0.5726594650205762,0.492326817558299,all
Ill-defined disorder,0.5204061059907834,0.45856854838709676,all
