se,struct_s1,expr_s1,struct_s2,expr_s2,adv,struct,expr,bin
Cerebrovascular accident,0.6614276619449307,0.5416202451058412,0.6683113162501989,0.5279126213592232,-0.13010305586503262,0.6648694890975648,0.5347664332325321,0.65-0.70
Cerebrovascular disorder,0.4097967250141163,0.4832721626199887,0.4781197063805759,0.5611942405420666,0.07827498588368154,0.44395821569734606,0.5222332015810276,<0.50
Cheilitis,0.6249294184076792,0.4665443252399774,0.5634528514963297,0.4700734048560136,-0.12588226990400897,0.5941911349520045,0.4683088650479955,0.55-0.60
Chest discomfort,0.5192089206816747,0.5354092152324847,0.5148748159057438,0.5581317062907637,0.029728592467914983,0.5170418682937092,0.5467704607616242,0.50-0.55
Chest pain,0.594233026459067,0.5696689434757399,0.6027038875454301,0.5816893640490433,-0.02278930323985695,0.5984684570022485,0.5756791537623915,0.55-0.60
Chills,0.5962896993116773,0.55832628909552,0.5922744837580002,0.535880328462746,-0.04717878275570575,0.5942820915348388,0.547103308779133,0.55-0.60
Cholecystitis,0.4512651821862348,0.4988360323886639,0.4859817813765182,0.4815789473684211,0.021584008097166013,0.46862348178137647,0.4902074898785425,<0.50
Cholelithiasis,0.6022722108611679,0.5236991592819814,0.6647580095432856,0.5825494205862305,-0.08039082026812078,0.6335151102022267,0.553124289934106,0.60-0.65
Cholestasis,0.5631365740740741,0.5304012345679012,0.6340663580246914,0.5706790123456791,-0.04806134259259259,0.5986014660493828,0.5505401234567902,0.55-0.60
Coagulopathy,0.5830900905357939,0.4966110918715678,0.5267402166922277,0.5277791520308712,-0.04272003166279126,0.5549151536140108,0.5121951219512195,0.55-0.60
Cognitive disorder,0.6571852060982496,0.5575945793337098,0.6197769621682665,0.5665584415584416,-0.07640457368718234,0.638481084133258,0.5620765104460757,0.60-0.65
Colitis,0.5414136302294197,0.4286718398560504,0.5536437246963563,0.4543690958164642,-0.10600820962663068,0.547528677462888,0.4415204678362573,0.50-0.55
Coma,0.5514860219633133,0.5091108204301402,0.562102637422809,0.4659751163568886,-0.06925136129954673,0.5567943296930611,0.4875429683935144,0.55-0.60
Completed suicide,0.6668300071275838,0.5369297933000713,0.6638453314326442,0.5411172487526729,-0.12631414825374193,0.6653376692801141,0.5390235210263721,0.65-0.70
Confusional state,0.5627834467120182,0.555172902494331,0.5781179138321996,0.5502692743764173,-0.017729591836734726,0.5704506802721089,0.5527210884353742,0.55-0.60
Conjunctival hyperaemia,0.5563591204616846,0.5407261304697202,0.6183797209438235,0.5562130177514794,-0.038899846592154286,0.587369420702754,0.5484695741105998,0.55-0.60
Conjunctivitis,0.5476210741339689,0.563316026895906,0.5622946633756065,0.5273640309813601,-0.00961783981615466,0.5549578687547877,0.545340028938633,0.55-0.60
Connective tissue disorder,0.5416784486479246,0.5085202327623413,0.5406069084577263,0.5037280669117319,-0.035018528715788866,0.5411426785528255,0.5061241498370366,0.50-0.55
Constipation,0.6473572439830109,0.5011650542708825,0.6472835063709297,0.4862553091080698,-0.1536101934874941,0.6473203751769703,0.49371018168947617,0.60-0.65
Contusion,0.4926971140017259,0.4724663619802486,0.4819265556585381,0.5190642078685799,0.00845345009428225,0.48731183483013196,0.49576528492441424,<0.50
Convulsion,0.5953663081595821,0.4806098044106642,0.6007952694672282,0.4706762725045119,-0.12243775035581711,0.5980807888134052,0.47564303845758804,0.55-0.60
Coordination abnormal,0.6557315737450912,0.5362915074933882,0.6523121310073998,0.5382149440333395,-0.11676862661288168,0.6540218523762455,0.5372532257633638,0.65-0.70
Coronary artery disease,0.5393445776951196,0.5803886359263772,0.5629449111780928,0.5270313602257424,0.0025652536394536463,0.5511447444366062,0.5537099980760598,0.55-0.60
Cough,0.59064467176259,0.505789118705036,0.5881857014388489,0.538486398381295,-0.06727742805755393,0.5894151866007193,0.5221377585431655,0.55-0.60
Cyanosis,0.5497058823529413,0.6161176470588234,0.5527647058823528,0.6217058823529411,0.06767647058823523,0.551235294117647,0.6189117647058823,0.55-0.60
Cyst,0.6903463695916526,0.5864354920958693,0.6653983446436276,0.5810222413995998,-0.09414349036990555,0.6778723571176402,0.5837288667477345,0.65-0.70
Cystitis,0.5324824824824825,0.5151401401401402,0.5479979979979981,0.5198698698698698,-0.022735235235235296,0.5402402402402403,0.517505005005005,0.50-0.55
Cystitis noninfective,0.5450723603750509,0.5338106400326131,0.5231349368120669,0.5502700774561761,0.00793671015083569,0.5341036485935589,0.5420403587443946,0.50-0.55
Deafness,0.5715395715395716,0.4693306693306693,0.5430791430791431,0.4662892662892663,-0.08949938949938951,0.5573093573093573,0.4678099678099678,0.55-0.60
Decreased appetite,0.6329214309402621,0.5492480498320188,0.647297160901475,0.5536314218563003,-0.08866956007670901,0.6401092959208685,0.5514397358441596,0.60-0.65
Deep vein thrombosis,0.7363362313775176,0.616497007296081,0.7276857879330683,0.6181571934116825,-0.11468390930141115,0.732011009655293,0.6173271003538818,>0.70
Dehydration,0.6020259638080252,0.4771243115656962,0.614162077104642,0.534795436664044,-0.10213414634146348,0.6080940204563337,0.5059598741148701,0.60-0.65
Delirium,0.6637784632447232,0.5474993934772814,0.6305756767060617,0.4728104529858246,-0.1370221467438395,0.6471770699753925,0.510154923231553,0.60-0.65
Delusion,0.7672220561864913,0.5865585774058577,0.7809698147041243,0.5773684997011357,-0.1921323968918111,0.7740959354453079,0.5819635385534967,>0.70
Dementia,0.5697275184454671,0.3736576813499891,0.5923734385272846,0.4375776170647965,-0.17543282927898307,0.5810504784863759,0.4056176492073928,0.55-0.60
Depersonalisation,0.5938433950986252,0.4490436341900777,0.6518604303646145,0.456253735803945,-0.17020322773460847,0.6228519127316199,0.4526486849970114,0.60-0.65
Depressed level of consciousness,0.6276755651755652,0.4574915824915825,0.6193181818181819,0.4842472342472342,-0.1526274651274652,0.6234968734968735,0.4708694083694084,0.60-0.65
Depressed mood,0.4142857142857143,0.4579365079365079,0.4340608465608466,0.496957671957672,0.0532738095238095,0.42417328042328045,0.47744708994708995,<0.50
Depression,0.4854004192872118,0.5284528301886792,0.4973584905660377,0.5424234800838574,0.04405870020964356,0.4913794549266247,0.5354381551362684,<0.50
Dermatitis,0.5911627319782855,0.4714556242898624,0.6113874510794092,0.5104658502714304,-0.11031435424820094,0.6012750915288474,0.4909607372806464,0.60-0.65
Dermatitis atopic,0.551911865569273,0.4203103566529492,0.5017575445816186,0.4823816872427983,-0.07548868312757204,0.5268347050754458,0.45134602194787377,0.50-0.55
Dermatitis bullous,0.4909462134961227,0.4973807952483088,0.4715599736017158,0.4975664081834681,0.016220508166969183,0.48125309354891926,0.49747360171588845,<0.50
Dermatitis contact,0.6315468409586057,0.5480900508351488,0.6487726942628904,0.5431808278867103,-0.09452432824981849,0.640159767610748,0.5456354393609295,0.60-0.65
Dermatitis exfoliative,0.571528975784295,0.5368134091538347,0.5892062275040998,0.5440972887781399,-0.03991225267821008,0.5803676016441974,0.5404553489659873,0.55-0.60
Diabetes mellitus,0.6319039451114924,0.5056603773584906,0.6272512864493996,0.4999142367066895,-0.126790308747856,0.629577615780446,0.50278730703259,0.60-0.65
Diarrhoea,0.679720692368214,0.5458693941778128,0.6844020456333596,0.5526750590086547,-0.13278914240755307,0.6820613690007868,0.5492722265932337,0.65-0.70
Diplopia,0.6359298737113965,0.5513799820525728,0.6382717940861039,0.53767865350522,-0.09257151611985381,0.6371008338987503,0.5445293177788963,0.60-0.65
Discomfort,0.5345111333042634,0.4925098110925126,0.5605474519291632,0.4479906601212496,-0.0772790570098322,0.5475292926167132,0.47025023560688106,0.50-0.55
Disorientation,0.5852886212624585,0.5290178571428572,0.5743095930232558,0.536155523255814,-0.047212416943521573,0.5797991071428572,0.5325866901993356,0.55-0.60
Disturbance in attention,0.5176588689806224,0.5456453624555105,0.5375840355306787,0.5315000152100507,0.010951236577130097,0.5276214522556506,0.5385726888327806,0.50-0.55
Disturbance in sexual arousal,0.6058977455716587,0.5300925925925926,0.6410225442834139,0.5576892109500806,-0.07956924315619968,0.6234601449275363,0.5438909017713366,0.60-0.65
