se,n_pos,prev,struct,expr,blend,expr_minus_struct,blend_gain
Coronary artery disease,31,0.05805243445692884,0.5782081703328417,0.5451163983838903,0.5544154428269095,-0.03309177194895141,-0.0237927275059322
Cough,256,0.4794007490636704,0.5451747976618705,0.5357323516187051,0.543263826438849,-0.009442446043165353,-0.0019109712230215292
Cyanosis,34,0.06367041198501873,0.6254705882352941,0.5611176470588235,0.6230000000000001,-0.06435294117647061,-0.0024705882352940023
Cyst,53,0.09925093632958802,0.6913662574039933,0.5656846977601695,0.6805005295571334,-0.12568155964382377,-0.010865727846859907
Cystitis,90,0.16853932584269662,0.49697197197197196,0.4976726726726727,0.4871121121121121,0.0007007007007007182,-0.009859859859859876
Cystitis noninfective,88,0.1647940074906367,0.5745006114961272,0.5047136159804322,0.5323328577252344,-0.069786995515695,-0.04216775377089277
Deafness,105,0.19662921348314608,0.5823287823287824,0.5065601065601065,0.5364635364635365,-0.07576867576867585,-0.045865245865245874
Decreased appetite,311,0.5823970037453183,0.6352428878347007,0.5264516315083703,0.55792827995905,-0.10879125632633047,-0.0773146078756507
Deep vein thrombosis,47,0.08801498127340825,0.6860063786098125,0.5898903403381537,0.662152125475119,-0.09611603827165882,-0.02385425313469347
Dehydration,124,0.23220973782771537,0.6073957513768686,0.47940597954366637,0.5217545239968528,-0.12798977183320226,-0.08564122738001578
Delirium,61,0.11423220973782772,0.6290507052992755,0.5001906214258482,0.5840987072401483,-0.1288600838734273,-0.044951998059127196
Delusion,56,0.10486891385767791,0.7404736999402272,0.5627615062761506,0.6761431560071727,-0.17771219366407653,-0.06433054393305448
Dementia,27,0.05056179775280899,0.5543867338739134,0.4294689166484038,0.49506903353057197,-0.12491781722550954,-0.059317700343341384
Depersonalisation,56,0.10486891385767791,0.6528317393903168,0.48206814106395696,0.6020248057381948,-0.17076359832635984,-0.050806933652121966
Depressed level of consciousness,72,0.1348314606741573,0.5963804713804713,0.5048100048100048,0.5361652236652237,-0.09157046657046652,-0.060215247715247666
Depressed mood,30,0.056179775280898875,0.38756613756613756,0.5146164021164021,0.40634920634920635,0.12705026455026458,0.01878306878306879
Depression,159,0.29775280898876405,0.49225995807127876,0.5036142557651991,0.4959664570230608,0.011354297693920379,0.0037064989517820446
Dermatitis,445,0.8333333333333334,0.5922989521525059,0.5381643731852039,0.5628582249715945,-0.054134578967302005,-0.029440727180911397
Dermatitis atopic,48,0.0898876404494382,0.46977880658436216,0.49189814814814814,0.4621484910836763,0.022119341563785977,-0.00763031550068588
Dermatitis bullous,116,0.21722846441947566,0.44340867843590165,0.49791701039432434,0.48197492163009403,0.054508331958422696,0.038566243194192384
Dermatitis contact,75,0.1404494382022472,0.6232970225127087,0.5422222222222222,0.6049382716049383,-0.08107480029048653,-0.018358750907770394
Dermatitis exfoliative,111,0.20786516853932585,0.565459076097374,0.5572380891529828,0.5705066768896556,-0.008220986944391218,0.005047600792281615
Diabetes mellitus,110,0.20599250936329588,0.6168739279588337,0.5173027444253859,0.5517581475128644,-0.09957118353344774,-0.06511578044596922
Diarrhoea,410,0.7677902621722846,0.6845397324940992,0.5179189614476789,0.5690991345397325,-0.16662077104642026,-0.11544059795436667
Diplopia,107,0.20037453183520598,0.6519731226334566,0.5852393355074526,0.6256867079603405,-0.06673378712600408,-0.0262864146731161
Discomfort,253,0.4737827715355805,0.511597484984457,0.47300015472690704,0.4768120630723138,-0.03859733025754997,-0.03478542191214323
Disorientation,86,0.16104868913857678,0.6010433970099668,0.5298224667774086,0.5468230897009967,-0.07122093023255816,-0.054220307308970095
Disturbance in attention,71,0.13295880149812733,0.46448453137833473,0.5206704590393332,0.49648647826483744,0.05618592766099845,0.03200194688650271
Disturbance in sexual arousal,120,0.2247191011235955,0.6257648953301127,0.5313204508856683,0.5503019323671497,-0.09444444444444444,-0.07546296296296295
Dizziness,440,0.8239700374531835,0.6552707930367505,0.5153288201160542,0.5750725338491296,-0.13994197292069632,-0.08019825918762091
Dizziness postural,27,0.05056179775280899,0.6707575425524143,0.5273577324859375,0.639418511213383,-0.14339981006647673,-0.031339031339031265
Drug eruption,43,0.08052434456928839,0.4723156349168759,0.4871879884431393,0.49239804859565195,0.014872353526263427,0.020082413678776057
Drug interaction,73,0.13670411985018727,0.5547202329658575,0.5194782040234154,0.546875464297388,-0.035242028942442105,-0.007844768668469504
Drug withdrawal syndrome,29,0.054307116104868915,0.7515875725503585,0.7222260157050189,0.8149539091840219,-0.029361556845339587,0.06336633663366342
Dry eye,89,0.16666666666666666,0.5668476202499685,0.567201110970837,0.5817952278752683,0.0003534907208685434,0.014947607625299786
Dry mouth,267,0.5,0.6700192175510948,0.5459748348272525,0.5857425409249674,-0.12404438272384233,-0.08427667662612748
Dry skin,135,0.25280898876404495,0.623893065998329,0.5597141000649772,0.5761811937250534,-0.06417896593335182,-0.04771187227327567
Dysaesthesia,31,0.05805243445692884,0.6080292438914898,0.5900083370743282,0.6339383056499711,-0.01802090681716162,0.02590906175848129
Dysarthria,70,0.13108614232209737,0.6131465517241379,0.4772783251231527,0.5455357142857142,-0.1358682266009852,-0.06761083743842367
Dysgeusia,223,0.41760299625468167,0.5674736493014001,0.45595720444681553,0.46975617493114935,-0.11151644485458456,-0.09771747437025075
Dyskinesia,74,0.13857677902621723,0.7027614571092831,0.6217685076380728,0.682256169212691,-0.08099294947121027,-0.020505287896592006
