se,struct,expr_strongest,expr_exemplar
Cough,0.586019392033543,0.5869147449336128,0.5381507686932215
Cyanosis,0.6185428486115259,0.454016124216184,0.4955957002090176
Cyst,0.7225877192982457,0.6991776315789473,0.5348135964912281
Cystitis,0.5266282521389908,0.6039811419591409,0.485140562248996
Cystitis noninfective,0.5085921656526844,0.5518554096844203,0.4811256982246416
Deafness,0.599690785405071,0.5508658008658008,0.5095547309833024
Decreased appetite,0.6610950341474707,0.47429100590346107,0.5300845005208935
Deep vein thrombosis,0.6875168690958164,0.5545883940620783,0.5970985155195682
Dehydration,0.6251829268292682,0.5021036585365853,0.5925609756097561
Delirium,0.6370487711213518,0.518337173579109,0.6016225038402457
Delusion,0.7706666666666667,0.5844025157232704,0.6914213836477988
Dementia,0.5692307692307693,0.3229776674937965,0.5539454094292804
Depersonalisation,0.6403436988543372,0.46179418985270054,0.5494578559738135
Depressed level of consciousness,0.6070884974994565,0.44583605131550336,0.506023048488802
Depressed mood,0.4080558744737849,0.5628587830080367,0.36289705319556065
Depression,0.47319524824855314,0.49941618438420143,0.566148847598741
Dermatitis,0.6619627649039413,0.5663002574767281,0.5491681521093286
Dermatitis atopic,0.5285412262156448,0.5347025067955301,0.48764723648444575
Dermatitis bullous,0.48652659069325743,0.46545584045584043,0.5742818138651472
Dermatitis contact,0.6199754901960783,0.6116830065359478,0.5946486928104575
Dermatitis exfoliative,0.5978454415954415,0.5681980056980057,0.5895952041785375
Diabetes mellitus,0.6277002086342481,0.5507944150216658,0.5402985074626866
Diarrhoea,0.6659605199807415,0.5566361739688652,0.5729096453217782
Diplopia,0.5851371974958732,0.5119132899367739,0.5123493319213879
Discomfort,0.566062062937063,0.4934003496503497,0.5248033216783217
Disorientation,0.6054500598086126,0.4810855263157895,0.49267344497607657
Disturbance in attention,0.4345108695652174,0.5015851449275363,0.5321557971014493
Disturbance in sexual arousal,0.5770830891831712,0.46282081331302005,0.581214109926169
Dizziness,0.6683631198958456,0.5997948475164714,0.4725608553280467
Drug eruption,0.5470305187528838,0.4710961703249621,0.40623558104277896
Drug interaction,0.5642683743512472,0.45906579608237064,0.536581282437636
Drug withdrawal syndrome,0.7243971998962925,0.4747212859735546,0.6777288047705472
Dry eye,0.6078754578754579,0.5454578754578755,0.6375457875457875
Dry mouth,0.6982230392156864,0.5414259453781513,0.5303527661064426
Dry skin,0.6292748917748918,0.5382846320346321,0.48125
Dysaesthesia,0.6482013011863758,0.5649636433218522,0.46239954075774964
Dysarthria,0.6576767142605323,0.5204036664903932,0.6049709148598624
Dysgeusia,0.5733139124293785,0.49704272598870053,0.49130473163841815
Dyskinesia,0.6976302934883534,0.481288603609059,0.5501594606596423
Dysmenorrhoea,0.6328226202706928,0.460356456872292,0.5098941349890561
Dyspepsia,0.631497919222535,0.47711144788434245,0.48589160712997037
Dysphagia,0.5853253922928394,0.5053710804710234,0.5304723831280085
Dysphonia,0.6382978723404256,0.5758083431060479,0.5382252750321104
Dyspnoea,0.6273932584269664,0.510561797752809,0.536808988764045
Dysuria,0.5293465346534654,0.5471419141914191,0.5241716171617161
Ear disorder,0.5657153412764384,0.6595548166620486,0.5973030386995474
Ear infection,0.512258064516129,0.5450124069478908,0.4509181141439206
Ear pain,0.5761904761904761,0.49923076923076926,0.49802197802197806
Ecchymosis,0.675493054364603,0.49267707082833134,0.518504544675013
Eczema,0.49808892852592684,0.5479997451904701,0.5285705185373933
Ejaculation disorder,0.7729749699824513,0.46291678211877707,0.6147593978017918
Electrocardiogram QT prolonged,0.711565309655442,0.5728486066901212,0.6021109063494722
Electrocardiogram abnormal,0.5963153125943823,0.6494110540622169,0.5139232860163093
Embolism,0.5990767045454545,0.524798768939394,0.5490056818181818
Embolism venous,0.7903251262626263,0.37744633838383834,0.6085858585858586
Encephalopathy,0.4842171717171717,0.46448863636363635,0.45123106060606055
Endocrine disorder,0.554569826955886,0.5425786010236413,0.5501340482573727
Endophthalmitis,0.5644665012406949,0.3666501240694789,0.4726550868486352
